dataset,pred_len,lr,dropout,train_epochs,batch_size,mse,mae,mape,msmape,tag
electricity,192,0.0001,0.2,10,16,0.16089950501918793,0.2610689401626587,2.4306387901306152,38.95191550254822,electricity_M_in321_pl192_lr0p0001_do0p2_ep10_bs16
electricity,192,0.0005,0.0,10,16,0.15437623858451843,0.2514079213142395,2.307374954223633,37.405768036842346,electricity_M_in321_pl192_lr0p0005_do0p0_ep10_bs16
electricity,192,0.0005,0.05,10,16,0.15437623858451843,0.2514079213142395,2.307374954223633,37.405768036842346,electricity_M_in321_pl192_lr0p0005_do0p05_ep10_bs16
electricity,192,0.0005,0.1,10,16,0.15437623858451843,0.2514079213142395,2.307374954223633,37.405768036842346,electricity_M_in321_pl192_lr0p0005_do0p1_ep10_bs16
electricity,192,0.0005,0.2,10,16,0.15437623858451843,0.2514079213142395,2.307374954223633,37.405768036842346,electricity_M_in321_pl192_lr0p0005_do0p2_ep10_bs16
electricity,192,0.001,0.0,10,16,0.15379352867603302,0.25049686431884766,2.3024847507476807,37.25841045379639,electricity_M_in321_pl192_lr0p001_do0p0_ep10_bs16
electricity,192,0.001,0.05,10,16,0.15379352867603302,0.25049686431884766,2.3024847507476807,37.25841045379639,electricity_M_in321_pl192_lr0p001_do0p05_ep10_bs16
electricity,192,0.001,0.1,10,16,0.15379352867603302,0.25049686431884766,2.3024847507476807,37.25841045379639,electricity_M_in321_pl192_lr0p001_do0p1_ep10_bs16
electricity,192,0.001,0.2,10,16,0.15379352867603302,0.25049686431884766,2.3024847507476807,37.25841045379639,electricity_M_in321_pl192_lr0p001_do0p2_ep10_bs16
electricity,192,0.005,0.0,10,16,0.1538093388080597,0.25076860189437866,2.2999727725982666,37.28784918785095,electricity_M_in321_pl192_lr0p005_do0p0_ep10_bs16
electricity,192,0.005,0.05,10,16,0.1538093388080597,0.25076860189437866,2.2999727725982666,37.28784918785095,electricity_M_in321_pl192_lr0p005_do0p05_ep10_bs16
electricity,192,0.005,0.1,10,16,0.1538093388080597,0.25076860189437866,2.2999727725982666,37.28784918785095,electricity_M_in321_pl192_lr0p005_do0p1_ep10_bs16
electricity,192,0.005,0.2,10,16,0.1538093388080597,0.25076860189437866,2.2999727725982666,37.28784918785095,electricity_M_in321_pl192_lr0p005_do0p2_ep10_bs16
etth1,96,0.0001,0.0,10,32,0.39838045835494995,0.4177249073982239,9.626452445983887,60.77895164489746,etth1_M_in7_pl96_lr0p0001_do0p0_ep10_bs32
etth1,96,0.0001,0.05,10,32,0.39838045835494995,0.4177249073982239,9.626452445983887,60.77895164489746,etth1_M_in7_pl96_lr0p0001_do0p05_ep10_bs32
etth1,96,0.0001,0.1,10,32,0.39838045835494995,0.4177249073982239,9.626452445983887,60.77895164489746,etth1_M_in7_pl96_lr0p0001_do0p1_ep10_bs32
etth1,96,0.0001,0.2,10,32,0.39838045835494995,0.4177249073982239,9.626452445983887,60.77895164489746,etth1_M_in7_pl96_lr0p0001_do0p2_ep10_bs32
etth1,96,0.0005,0.0,10,32,0.37826406955718994,0.4001361131668091,9.09355354309082,57.71270990371704,etth1_M_in7_pl96_lr0p0005_do0p0_ep10_bs32
etth1,96,0.0005,0.05,10,32,0.37826406955718994,0.4001361131668091,9.09355354309082,57.71270990371704,etth1_M_in7_pl96_lr0p0005_do0p05_ep10_bs32
etth1,96,0.0005,0.1,10,32,0.37826406955718994,0.4001361131668091,9.09355354309082,57.71270990371704,etth1_M_in7_pl96_lr0p0005_do0p1_ep10_bs32
etth1,96,0.0005,0.2,10,32,0.37826406955718994,0.4001361131668091,9.09355354309082,57.71270990371704,etth1_M_in7_pl96_lr0p0005_do0p2_ep10_bs32
